City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Veraval,IN,20.9,70.3667,79.59,70,0,12.62,clear sky
335,Kununurra,AU,-15.7667,128.7333,69.8,88,69,5.75,broken clouds
336,Bethel,US,41.3712,-73.414,70.0,56,90,12.66,overcast clouds
337,Farafangana,MG,-22.8167,47.8333,76.33,83,76,2.46,broken clouds
338,Gimli,CA,50.6336,-96.9907,33.8,80,57,10.36,broken clouds
339,Gornopravdinsk,RU,60.05,69.9,36.5,99,100,4.05,overcast clouds
340,Lockhart,US,28.6194,-81.4426,90.0,42,1,11.5,clear sky
341,Laguna,US,38.421,-121.4238,63.0,55,1,5.75,clear sky
342,Flin Flon,CA,54.7682,-101.865,35.6,64,75,9.22,broken clouds
343,Balurghat,IN,25.2167,88.7667,81.32,48,0,12.46,clear sky
344,Vila Do Maio,CV,15.1333,-23.2167,78.8,53,20,21.85,few clouds
345,Mount Gambier,AU,-37.8333,140.7667,50.0,76,40,17.27,scattered clouds
346,Ilo,PE,-17.6394,-71.3375,71.6,73,75,8.05,broken clouds
347,Asau,RO,46.4333,26.4,48.2,46,0,6.91,clear sky
