City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
547,Humberto De Campos,BR,87.3,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
548,Port Blair,IN,81.95,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
550,Sechura,PE,80.29,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
551,Addanki,IN,78.96,clear sky,15.8167,79.9833,Shanthi residency
553,Baihar,IN,79.27,scattered clouds,22.1,80.55,T3 RESORT & RESEARCH CENTRE
554,Careiro Da Varzea,BR,87.8,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
555,Lat Yao,TH,79.0,broken clouds,15.751,99.7893,ห้างหุ้นส่วนจำกัด ลาดยาวการเกษตร
560,Sur,OM,81.59,clear sky,22.5667,59.5289,Sur Plaza Hotel
562,Acarau,BR,85.1,broken clouds,-2.8856,-40.12,castelo pizzaria
567,Samana,DO,80.6,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
573,Areia Branca,BR,86.0,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
575,Srandakan,ID,79.21,moderate rain,-7.9386,110.2506,Puri Brata
578,Samarai,PG,80.56,overcast clouds,-10.6167,150.6667,Nuli Sapi
579,Bairiki,KI,77.0,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
580,Gwadar,PK,78.82,clear sky,25.1216,62.3254,Sadaf Resort
582,Nueva Loja,EC,82.4,clear sky,0.0847,-76.8828,Limoncocha Great Hotel
583,Takoradi,GH,83.41,overcast clouds,4.8845,-1.7554,Raybow International Hotel
588,Manzanillo,CU,89.56,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
591,Awash,ET,85.05,broken clouds,8.9833,40.1667,Kediga hotel
593,Tautira,PF,80.6,light rain,-17.7333,-149.15,Pension Oaoa
604,Macenta,GN,87.73,overcast clouds,8.5435,-9.471,Hôtel Yansané
610,Gibara,CU,86.0,scattered clouds,21.1097,-76.1317,Sol y Mar
611,Cocobeach,GA,84.2,moderate rain,1.0002,9.5823,Hotel Esperance
614,Le Vauclin,MQ,80.6,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
618,Martapura,ID,77.0,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
622,Omboue,GA,78.4,overcast clouds,-1.5746,9.2618,Hotel Olako
632,Roma,US,75.0,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
633,Bac Lieu,VN,81.52,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
641,Pinar Del Rio,CU,89.55,broken clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
